#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
27634,2009-01-23 05:15:36.86,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27632,2009-01-23 05:16:03.38,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27633,2009-01-23 05:16:03.38,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27631,2009-01-23 05:16:31.93,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27630,2009-01-23 05:16:31.93,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27626,2009-01-23 05:17:00.32,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27627,2009-01-23 05:17:00.32,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27628,2009-01-23 05:17:00.32,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27625,2009-01-23 05:17:00.32,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27629,2009-01-23 05:17:00.32,,,,,,,flegrei,earthquake,Bollettino
27621,2009-01-23 05:17:15.52,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27622,2009-01-23 05:17:15.52,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27623,2009-01-23 05:17:15.52,,,,,,,flegrei,earthquake,Bollettino
27624,2009-01-23 05:17:15.52,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27619,2009-01-23 05:18:07.97,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27618,2009-01-23 05:18:07.97,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27620,2009-01-23 05:18:07.97,,,,,,,flegrei,earthquake,Bollettino
27615,2009-01-23 05:18:14.8,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27617,2009-01-23 05:18:14.8,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27616,2009-01-23 05:18:14.8,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27611,2009-01-23 05:21:08.88,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27613,2009-01-23 05:21:08.88,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27614,2009-01-23 05:21:08.88,,,,,,,flegrei,earthquake,Bollettino
27612,2009-01-23 05:21:08.88,,,,,,,flegrei,earthquake,Bollettino
27610,2009-01-23 05:21:17.21,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27608,2009-01-23 05:21:17.21,,,,,,,flegrei,earthquake,Bollettino
27609,2009-01-23 05:21:17.21,,,,,,,flegrei,earthquake,Bollettino
27605,2009-01-23 05:22:02.07,,,,,,,flegrei,earthquake,Bollettino
27607,2009-01-23 05:22:02.07,,,,,,,flegrei,earthquake,Bollettino
27606,2009-01-23 05:22:02.07,,,,,,,flegrei,earthquake,Bollettino
27603,2009-01-23 05:22:08.08,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27604,2009-01-23 05:22:08.08,,,,,,,flegrei,earthquake,Bollettino
27602,2009-01-23 05:22:08.08,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27601,2009-01-23 05:23:29.15,,,,,,,flegrei,earthquake,Bollettino
27600,2009-01-23 05:24:00.61,,,,,,,flegrei,earthquake,Bollettino
27599,2009-01-23 05:24:00.61,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27598,2009-01-23 05:24:00.61,,,,,,,flegrei,earthquake,Bollettino
27597,2009-01-23 05:24:00.61,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27595,2009-01-23 05:24:15.9,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27596,2009-01-23 05:24:15.9,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27594,2009-01-23 05:24:15.9,,,,,,,flegrei,earthquake,Bollettino
27590,2009-01-23 05:25:16.15,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27591,2009-01-23 05:25:16.15,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27593,2009-01-23 05:25:16.15,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27592,2009-01-23 05:25:16.15,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27587,2009-01-23 05:25:27.21,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27589,2009-01-23 05:25:27.21,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27588,2009-01-23 05:25:27.21,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27586,2009-01-23 05:26:07.4,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27585,2009-01-23 05:26:07.4,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27584,2009-01-23 05:26:13.38,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27583,2009-01-23 05:26:13.38,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27582,2009-01-23 05:27:09.309,,,,,,,flegrei,earthquake,Bollettino
27578,2009-01-23 05:27:09.31,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27579,2009-01-23 05:27:09.31,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27581,2009-01-23 05:27:09.31,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27580,2009-01-23 05:27:09.31,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27574,2009-01-23 05:27:11.849,,,,,,,flegrei,earthquake,Bollettino
27576,2009-01-23 05:27:11.85,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27575,2009-01-23 05:27:11.85,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27577,2009-01-23 05:27:11.85,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27573,2009-01-23 05:28:03.17,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
